Stadtgebiet,Einkünfte,Entfernung
Hamburg-Altstadt,31336,
HafenCity,93206,
Neustadt,34521,
St. Pauli,27977,
St. Georg,44121,
Hammerbrook,19468,
Borgfelde,26217,
Hamm,25745,
Horn,21685,
Billstedt,23247,
Billbrook,22625,
Rothenburgsort,20473,
Veddel,15831,
Wilhelmsburg,21890,
Kleiner Grasbrook und Steinwerder,13777,
Waltershof und Finkenwerder,31649,
Altona-Altstadt,30833,
Sternschanze,31125,
Altona-Nord,29901,
Ottensen,40830,
Bahrenfeld,33565,
Groß Flottbek,85952,
Othmarschen,108258,
Lurup,26665,
Osdorf,43177,
Nienstedten,120716,
Blankenese,117139,
Iserbrook,39439,
Sülldorf,43584,
Rissen,65855,
Eimsbüttel,37536,
Rotherbaum,68191,
Harvestehude,111088,
Hoheluft-West,42169,
Lokstedt,41778,
Niendorf,41651,
Schnelsen,37866,
Eidelstedt,30938,
Stellingen,32600,
Hoheluft-Ost,52006,
Eppendorf,58438,
Groß Borstel,42631,
Alsterdorf,52426,
Winterhude,51627,
Uhlenhorst,62479,
Hohenfelde,39541,
Barmbek-Süd,32679,
Dulsberg,21239,
Barmbek-Nord,28330,
Ohlsdorf,39049,
Fuhlsbüttel,39526,
Langenhorn,30965,
Eilbek,32559,
Wandsbek,28567,
Marienthal,59131,
Jenfeld,23975,
Tonndorf,32210,
Farmsen-Berne,31603,
Bramfeld,30928,
Steilshoop,22730,
Wellingsbüttel,88606,
Sasel,61360,
Poppenbüttel,52157,
Hummelsbüttel,38135,
Lemsahl-Mellingstedt,75191,
Duvenstedt,65694,
Wohldorf-Ohlstedt,94234,
Bergstedt,51374,
Volksdorf,63763,
Rahlstedt,33419,
Lohbrügge,29127,
Bergedorf,35049,
Curslack,41512,
Altengamme,47341,
Neuengamme,40936,
Kirchwerder,39284,
Ochsenwerder,38634,
Reitbrook,37041,
Allermöhe,38369,
Billwerder,30575,
Moorfleet,34387,
Tatenberg,42598,
Spadenland,35255,
Neuallermöhe,28633,
Harburg,20773,
Neuland und Gut Moor,32295,
Wilstorf,25518,
Rönneburg,38848,
Langenbek,34231,
Sinstorf,33328,
Marmstorf,36313,
Eißendorf,32988,
Heimfeld,30132,
Moorburg und Altenwerder,34544,
Hausbruch,31023,
Neugraben-Fischbek,31101,
Francop,35782,
Neuenfelde,32879,
Cranz,31335,
